time,Btc-open,Btc-high,Btc-low,Btc-close,volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
21/01/2022 21:00,38328.63,38467.66,36128,36677.42,4360.724556,2743.74,2758.25,2556.05,2608.47,55728.06459
21/01/2022 22:00,36673.79,37159,35422,36111.36,4276.91258,2608.57,2649.86,2500,2545.55,53372.76757
21/01/2022 23:00,36141.99,36842,35825.71,36456.94,3583.623247,2545.56,2600,2467.11,2569.01,56451.70495
22/01/2022 0:00,36456.67,36835.93,36150,36508.39,1539.511669,2568.12,2628.36,2549.81,2593.17,28087.69023
22/01/2022 1:00,36510.19,36637.3,36183.51,36507.96,1146.921315,2593.17,2617.75,2581.78,2609.15,17357.41353
22/01/2022 2:00,36509.75,36578.78,36278.22,36503.39,827.6428571,2610.02,2612.31,2583,2595.59,12913.65578
22/01/2022 3:00,36497.39,36709,36026.12,36354.41,1192.443034,2595.14,2618,2541.92,2568.67,16790.9257
22/01/2022 4:00,36354.41,36444.88,36206.63,36306.58,688.2243848,2568.67,2577.63,2549.37,2556.64,11575.68361
22/01/2022 5:00,36304.02,36358.92,35600,35740.33,981.4865004,2556.68,2564.9,2485,2496.73,16231.75747
22/01/2022 6:00,35743.67,35985.91,35414.51,35715.18,1330.658585,2496.94,2533.13,2463.33,2507.07,20009.33121
22/01/2022 7:00,35714.66,35897.67,35123.45,35410,935.4258462,2507.07,2527.76,2427.28,2463.66,16983.70219
22/01/2022 8:00,35404.75,35821.5,35401.74,35607.09,543.3746999,2464.38,2505,2463.21,2469.14,9951.72838
22/01/2022 9:00,35607.08,35738.5,34658.56,34831.33,1606.991494,2469.12,2486.42,2373.6,2388.76,24006.64618
22/01/2022 10:00,34826.3,36170,34017.56,35502.7,2833.805796,2388.9,2469.76,2301.6,2450.74,38064.4506
22/01/2022 11:00,35502.7,35682.82,34822.13,35401.82,868.882823,2451.14,2469.01,2386.01,2430.4,13277.05637
22/01/2022 12:00,35412.53,35891.55,35346.56,35782.04,905.9390294,2430.39,2499.45,2422.12,2491.88,20499.20446
22/01/2022 13:00,35790.03,36192.56,35535.88,35600.2,1180.806252,2491.73,2518.9,2457.56,2468.38,17651.69783
22/01/2022 14:00,35600.56,35667.42,35000,35028.54,1082.773369,2468.46,2474.77,2416.06,2419.96,12757.31325
22/01/2022 15:00,35028.62,35335.17,34808.57,34854.45,1609.661941,2419.86,2431.71,2381,2387.11,18185.73915
22/01/2022 16:00,34848.37,35499.23,34508.23,35102.77,2178.766883,2386.69,2466.13,2360.32,2440.21,24094.13458
22/01/2022 17:00,35098.06,35215.02,34495.72,34614.17,1459.803367,2439.61,2451.24,2369.47,2380.68,21465.47656
22/01/2022 18:00,34606.42,34778.86,34250,34392.29,1586.096405,2380.78,2396.56,2321.33,2330.37,30656.04214
22/01/2022 19:00,34401.65,34857.14,34363.02,34538.7,1123.836337,2330.87,2375,2319.01,2338.13,19451.03288
22/01/2022 20:00,34538.71,35526.99,34436.2,35302.75,1996.400901,2337.61,2457.02,2319.27,2429.66,29691.33458
22/01/2022 21:00,35294.12,35750,35100,35403.07,868.308265,2429.64,2472.72,2410.03,2446.78,12620.13862
22/01/2022 22:00,35403.01,35412.14,34741.5,34885.05,773.8083472,2446.13,2447.35,2365.93,2379.99,11862.96261
22/01/2022 23:00,34885.05,35121.9,34617.99,35066.43,782.5547631,2379.5,2413.76,2370.98,2411.9,13579.92565
23/01/2022 0:00,35075.7,35464.92,34952.12,35419.61,790.2587326,2411.91,2450,2397.86,2448.22,14695.10148
23/01/2022 1:00,35422.45,35547.07,35284.59,35338.72,665.1863985,2448.01,2463.73,2433.96,2446.03,11577.22002
23/01/2022 2:00,35338.72,35381.19,34856.98,34890.45,818.7154833,2446.02,2450.05,2389.04,2395.93,8596.911825
23/01/2022 3:00,34894.07,35115.19,34810,35067.81,580.875365,2395.5,2420.97,2386.39,2417.03,9567.33994
23/01/2022 4:00,35069.29,35312.23,34974.15,35243.98,632.7831687,2417.02,2445.67,2407.89,2433.71,9393.387682
23/01/2022 5:00,35245.33,35570.84,34959.38,35469.61,764.2313562,2434.04,2482.35,2404.16,2467.75,12418.30346
23/01/2022 6:00,35469.61,35559.76,35150.48,35300.84,460.9507063,2468.52,2480.74,2451.67,2463.94,7965.087932
23/01/2022 7:00,35300.86,35777,35244.19,35606.53,485.0693766,2464.32,2503.16,2459.39,2488.37,9421.402877
23/01/2022 8:00,35596.19,35964.65,35361.08,35863.9,887.9620429,2488.01,2521.69,2477.44,2519.57,11607.37836
23/01/2022 9:00,35860.94,36167.68,35763.97,35897.08,677.9113116,2520.54,2551.3,2509.22,2535.36,11474.78705
23/01/2022 10:00,35901.2,35944.13,35679.95,35923.28,466.4168885,2535,2538.1,2512.42,2535.68,7019.115977
23/01/2022 11:00,35928.36,35934.88,35630.01,35704.75,216.0367434,2535.26,2538.06,2492.31,2499.57,5921.714518
23/01/2022 12:00,35704.75,35849.04,35575.57,35816.76,373.8580144,2499.57,2506.29,2483.14,2496.7,5995.169143
23/01/2022 13:00,35819.13,36069.61,35723.49,35991.64,682.526439,2496.7,2512.14,2483.86,2506.15,7322.839436
23/01/2022 14:00,35989.36,36089.31,35054.49,35338.15,1312.049887,2506.47,2516.06,2406.16,2435.35,16951.36405
23/01/2022 15:00,35339.78,35387.27,35127.95,35304.48,627.8693322,2435.35,2441.92,2419.26,2433.8,7900.938248
23/01/2022 16:00,35301.87,35455.58,35174.99,35243.8,571.1309388,2433.49,2454.67,2416.7,2427.27,8471.234924
23/01/2022 17:00,35238.61,35461.35,35197.46,35351.66,525.851046,2427.88,2447.97,2424.09,2439.09,6169.366572
23/01/2022 18:00,35351.65,35424.15,34887.76,34975.55,808.0279802,2439.05,2447.88,2406.92,2415.83,9062.187966
23/01/2022 19:00,34975.55,35227.68,34625,34793.94,1377.607302,2415.76,2430,2377.02,2384.51,15322.33416
23/01/2022 20:00,34794.89,35397.29,34724.02,35311.02,792.9140721,2384.51,2428.96,2371.58,2424.32,10953.81542
23/01/2022 21:00,35311.01,35585.81,35100.05,35362.67,760.9897735,2424.32,2439.87,2404.95,2422.53,10272.37296
23/01/2022 22:00,35362.07,35563.62,35288.01,35534.31,508.8856629,2422.54,2449.86,2419.06,2448.24,8796.790006
